user_id,post_id
1,280
1,994
2,981
2,982
2,984
2,987
2,988
2,989
3,361
3,362
3,363
3,364
3,365
3,366
3,372
3,373
3,374
3,1004
3,1005
3,1006
5,991
7,304
7,305
7,306
7,307
7,308
7,352
7,356
7,357
7,359
9,377
22,1000
22,1001
24,847
24,848
29,980
45,1003
46,425
46,426
46,427
47,960
47,961
47,962
47,963
47,964
48,119
49,836
49,837
49,838
54,25
54,419
54,420
54,421
54,422
57,259
57,260
57,261
72,810
72,811
72,812
72,813
72,814
72,815
72,868
72,869
72,870
72,871
72,872
72,873
72,874
72,875
72,876
92,786
92,787
92,788
92,789
92,790
92,791
92,792
92,793
92,794
92,795
92,796
92,797
92,798
92,799
92,800
92,801
92,802
92,803
93,578
93,579
93,580
93,581
93,582
93,583
93,584
93,585
93,586
116,96
116,97
132,697
132,698
146,35
147,903
147,904
147,905
147,934
151,404
151,405
151,406
151,407
151,408
151,409
154,776
154,777
154,778
154,845
154,846
154,849
154,850
154,851
158,618
158,619
158,620
158,621
158,622
160,84
160,85
167,7
167,649
168,388
168,389
168,390
173,587
173,588
173,589
173,590
173,591
175,609
175,610
175,611
218,214
218,215
218,216
218,217
218,218
225,30
226,332
226,333
231,41
242,452
242,453
244,659
244,660
244,661
256,695
256,696
258,901
266,784
266,785
280,247
280,250
280,251
280,252
280,253
280,254
280,341
280,342
280,343
280,346
280,347
280,348
286,78
298,239
298,240
298,241
298,242
311,689
311,690
311,691
311,692
312,79
312,80
323,334
323,335
323,336
326,592
326,593
326,594
327,552
327,553
327,554
327,555
327,556
329,8
329,16
329,693
329,694
338,454
338,455
338,456
350,93
350,94
350,95
350,131
352,21
365,676
365,677
365,678
368,57
368,59
368,67
370,887
370,888
370,889
370,897
377,575
377,576
377,577
383,935
383,936
383,937
395,942
395,943
403,230
411,663
411,664
411,665
417,759
417,760
417,761
417,768
417,772
421,199
421,379
432,595
432,596
432,597
432,598
445,428
445,429
445,430
445,431
455,726
455,727
455,728
455,916
457,910
457,911
460,724
460,725
461,118
489,440
489,441
489,442
502,906
502,907
502,908
506,313
506,314
506,316
508,740
508,741
508,933
523,569
523,570
523,571
534,766
534,767
548,489
550,232
550,233
550,234
550,235
550,236
550,238
550,498
550,499
550,500
550,501
550,502
550,504
553,443
553,444
553,445
553,446
553,447
553,448
554,262
554,263
554,264
554,265
554,266
554,273
554,274
554,275
554,276
554,277
554,279
555,433
555,434
555,435
555,438
560,463
577,449
577,450
577,451
594,516
594,517
594,524
605,636
605,637
615,634
615,635
619,26
619,27
620,188
620,189
620,190
620,191
620,192
620,193
628,86
631,413
631,414
631,415
634,223
634,224
634,225
658,108
669,572
669,573
669,574
673,612
673,613
673,614
673,615
682,121
682,122
690,606
690,607
690,608
700,824
700,825
700,826
700,864
700,865
700,866
708,540
708,541
708,704
708,713
708,714
708,715
708,716
708,717
708,718
708,719
708,720
708,721
708,723
711,324
711,325
711,461
718,638
718,639
721,42
723,180
723,181
723,182
756,950
756,951
756,952
756,953
799,200
799,201
824,496
824,497
824,505
832,601
832,602
832,603
832,604
834,194
834,381
834,382
837,55
837,436
843,947
843,948
843,968
847,317
847,318
847,319
867,667
867,668
867,669
867,670
868,457
868,458
868,459
873,535
873,536
888,39
891,705
891,706
892,157
892,158
892,159
892,160
892,938
895,656
895,658
904,628
904,629
904,630
933,738
933,739
942,15
946,881
946,882
946,883
946,884
952,650
952,651
952,652
952,653
952,654
952,655
958,940
958,941
983,732
983,733
988,145
988,146
988,147
988,148
988,149
988,150
988,151
988,152
988,153
988,154
993,468
993,469
993,470
993,471
993,472
1002,891
1002,892
1002,899
1008,32
1017,648
1036,56
1043,410
1043,411
1043,412
1043,912
1044,944
1044,945
1044,946
1047,644
1047,645
1047,646
1047,647
1051,423
1051,424
1075,561
1075,562
1075,563
1075,564
1075,565
1075,566
1075,567
1075,568
1089,130
1089,226
1089,532
1092,625
1092,626
1092,627
1101,547
1101,548
1101,549
1120,805
1120,806
1120,807
1120,958
1120,967
1133,62
1134,63
1154,349
1154,662
1160,99
1160,100
1160,486
1167,125
1175,483
1175,484
1191,88
1191,89
1191,90
1199,287
1199,288
1199,289
1199,291
1201,746
1201,747
1201,748
1201,749
1201,750
1201,751
1201,752
1201,753
1201,754
1201,755
1201,756
1201,757
1201,758
1201,762
1201,763
1219,473
1219,474
1219,475
1220,285
1220,488
1235,351
1235,358
1303,518
1303,519
1303,520
1303,521
1303,523
1306,109
1307,923
1310,4
1318,298
1318,299
1318,300
1340,528
1340,529
1397,534
1400,550
1400,551
1412,902
1413,222
1413,227
1426,599
1426,600
1439,775
1439,779
1442,33
1451,117
1466,507
1466,508
1487,29
1517,208
1517,209
1517,210
1553,47
1553,48
1553,49
1553,50
1558,114
1558,115
1564,605
1571,827
1571,828
1571,829
1571,855
1571,859
1571,860
1578,478
1591,383
1591,743
1591,744
1614,491
1614,492
1614,493
1614,494
1614,495
1614,506
1614,808
1614,809
1614,816
1614,817
1635,397
1635,416
1635,417
1635,418
1650,301
1650,302
1650,303
1653,177
1653,178
1653,179
1659,140
1666,839
1666,840
1666,841
1666,842
1666,852
1666,853
1666,856
1666,858
1666,862
1666,877
1667,780
1667,781
1667,782
1667,783
1717,954
1717,955
1717,956
1719,2
1743,185
1743,186
1743,187
1787,6
1787,11
1799,402
1799,403
1799,437
1801,513
1802,126
1802,544
1805,616
1805,617
1811,624
1811,861
1825,120
1825,197
1825,220
1825,221
1825,467
1833,129
1835,537
1835,538
1840,255
1840,256
1859,267
1859,268
1859,271
1859,272
1861,679
1861,680
1861,681
1861,682
1861,683
1861,684
1883,110
1886,183
1910,969
1910,970
1925,821
1925,822
1925,830
1925,831
1925,832
1929,37
1947,269
1947,310
1968,64
1980,671
1980,672
1980,673
1980,674
1980,675
1985,640
1985,641
1985,642
1985,643
1998,890
1998,900
2040,9
2040,12
2040,13
2061,525
2061,526
2061,527
2061,531
2064,729
2064,730
2077,1
2102,34
2112,168
2112,169
2112,170
2119,929
2119,930
2119,931
2119,932
2135,337
2135,338
2135,339
2135,340
2139,464
2139,465
2139,466
2141,386
2141,387
2151,20
2153,23
2153,211
2154,46
2156,36
2156,487
2158,24
2159,40
2162,101
2162,111
2164,134
2164,135
2164,136
2164,137
2164,138
2164,139
2167,52
2168,65
2168,511
2170,60
2172,87
2172,462
2176,91
2177,391
2177,479
2177,480
2178,774
2179,92
2181,112
2182,116
2183,734
2183,735
2183,736
2183,737
2183,804
2184,113
2184,123
2185,198
2185,515
2186,204
2186,205
2186,206
2186,207
2187,124
2188,127
2188,128
2191,144
2191,167
2192,132
2192,133
2193,156
2194,162
2194,350
2195,163
2196,161
2197,164
2197,542
2198,165
2199,432
2201,184
2202,203
2203,315
2205,196
2207,213
2207,328
2208,219
2211,257
2212,270
2212,385
2215,246
2216,685
2216,686
2217,243
2217,244
2217,245
2217,281
2217,282
2217,283
2218,284
2219,258
2219,957
2221,490
2224,309
2225,326
2226,898
2227,327
2227,835
2228,311
2228,312
2229,331
2230,329
2230,330
2233,354
2233,378
2235,376
2235,514
2238,384
2239,392
2240,393
2242,394
2242,395
2242,396
2247,818
2247,819
2247,820
2248,460
2249,509
2250,476
2250,477
2251,560
2252,481
2253,482
2255,510
2258,533
2259,522
2261,742
2263,539
2264,878
2264,879
2264,880
2265,545
2265,546
2266,557
2266,558
2266,559
2268,633
2272,949
2274,666
2275,703
2276,769
2276,770
2278,687
2278,688
2279,699
2279,700
2279,701
2280,707
2280,710
2280,712
2281,764
2284,731
2286,893
2286,894
2286,895
2286,896
2288,765
2288,771
2288,773
2290,823
2291,885
2292,843
2292,844
2296,909
2296,939
2297,966
